Student,Genre,University,Experiment,Arousal,Valence,Degree,Emotion,,,Awindeks,,,,,,,,
1,Female,1,1,-0.252445845,-0.197992282,-128.1069502,Depressed,LVLA,3,0.054977124,,,,,2,3,4,1
2,Male,1,1,0.211263274,-0.057852059,105.3143732,nervous,LVHA,2,1.637065589,,,,,LVHA,LVLA,HVLA,HVHA
3,Male,1,1,-0.097870916,-0.183805324,-151.9660149,Sad,LVLA,3,0.344663623,,,,,Tense,Sad ,content,alert
4,Male,1,1,-0.296624133,0.065496205,-77.54857427,Calm,HVLA,4,0.132231989,,,,,Nervous,Depressed,serene,excited
5,Female,1,1,-0.097673127,0.172626245,-29.50148249,Contented,HVLA,4,0.496607561,,,,,Stressed,Lethargic,relaxed,elated
6,Female,1,1,0.102614055,-0.419365663,166.2505246,Upset,LVHA,2,0.104291731,,,,,Upset,Fatigued,calm,happy
7,Female,1,1,-0.060748732,-0.61596484,-174.3674928,Sad,LVLA,3,0.123361719,,,,,,,,
8,Male,1,1,-0.301371847,-0.391866524,-142.4372819,Depressed,LVLA,3,0.439973627,,,,,,,,
9,Male,1,1,-0.034070376,0.248466534,-7.807852991,Contented,HVLA,4,0.008389577,,,,,,,,
10,Male,1,1,0.21350602,0.054328273,75.72362082,alert,HVHA,1,0.11963668,,,,,,,,
11,Female,1,1,0.032183199,-0.636608056,177.1059226,Upset,LVHA,2,-0.788340348,,,,,,,,
12,Male,1,1,-0.104574492,0.242860724,-23.29644565,Contented,HVLA,4,-0.154457142,,,,,,,,
13,Male,1,1,-0.017776971,-0.054907998,-162.0601607,Sad,LVLA,3,0.490766937,,,,,,,,
14,Female,1,1,-0.026378492,-0.497128984,-176.962639,Sad,LVLA,3,0.045463863,,,,,,,,
15,Female,1,1,-0.091542336,-0.306755178,-163.3837663,Sad,LVLA,3,0.111768533,,,,,,,,
16,Male,1,1,-0.017776971,-0.054907998,-162.0601607,Sad,LVLA,3,0.091654,,,,,,,,
17,Female,1,1,0.201202129,0.016642872,85.27141975,alert,HVHA,1,-0.001085943,,,,,,,,
18,Female,2,1,-0.040818435,0.426091896,-5.472080021,Contented,HVLA,4,0.033616777,,,,,,,,
19,Female,2,1,0.066393886,0.218082214,16.93257164,happy,HVHA,1,0.072135918,,,,,,,,
20,Female,2,1,-0.020878563,0.089428363,-13.14127982,Contented,HVLA,4,-0.075365758,,,,,,,,
21,Male,2,1,0.183267205,0.09615427,62.31548245,alert,HVHA,1,0.513450891,,,,,,,,
22,Male,2,1,0.072529271,0.060427218,50.20088279,excited,HVHA,1,0.133617641,,,,,,,,
23,Male,2,1,-0.055390216,0.091216817,-31.26766795,Relaxed,HVLA,4,-0.069383468,,,,,,,,
24,Female,2,1,0.197576557,0.010775204,86.87836094,alert,HVHA,1,0.027515013,,,,,,,,
25,Female,2,1,-0.027501155,-0.012488059,-114.4224266,Bored,HVLA,4,-0.039412133,,,,,,,,
26,Male,2,1,0.181913843,0.107357978,59.45266465,excited,HVHA,1,-0.177227198,,,,,,,,
27,Male,2,1,-0.075950834,0.229118945,-18.33988647,Contented,HVLA,4,0.351618841,,,,,,,,
28,Female,2,1,-0.098392038,-0.484789657,-168.527187,Sad,LVLA,3,-0.027710581,,,,,,,,
29,Female,2,1,-0.074503606,0.506854232,-8.362148281,Contented,HVLA,4,0.477200705,,,,,,,,
30,Male,2,1,-0.053160392,-0.109216962,-154.0459059,Sad,LVLA,3,-0.026191346,,,,,,,,
31,Female,2,1,-0.286234903,-0.189758116,-123.5422055,Depressed,LVLA,3,0.301495078,,,,,,,,
32,Female,2,1,0.102975901,-0.030544004,106.5210481,nervous,LVHA,2,-0.078301951,,,,,,,,
33,Male,2,1,0.149567435,-0.309668975,154.2198594,Upset,LVHA,2,0.130785043,,,,,,,,
34,Female,2,1,0.015955443,0.134368548,6.771814235,happy,HVHA,1,0.122020839,,,,,,,,
1,Female,1,2,-0.05069039,-0.502556254,-174.2403349,Sad,LVLA,3,0.028409373,,,,,,,,
2,Male,1,2,0.154660997,-0.054735786,109.4892859,nervous,LVHA,2,-0.374461686,,,,,,,,
3,Male,1,2,-0.145340176,0.158751179,-42.47478424,Relaxed,HVLA,4,0.762184004,,,,,,,,
4,Male,1,2,0.118871578,0.042165725,70.46955809,alert,HVHA,1,-0.339112852,,,,,,,,
5,Female,1,2,-0.096238524,-0.007421584,-94.4097261,Bored,HVLA,4,0.119909451,,,,,,,,
6,Female,1,2,-0.186289168,-0.553007422,-161.3830998,Sad,LVLA,3,0.167801198,,,,,,,,
7,Female,1,2,-0.182239818,-0.258249805,-144.7904281,Depressed,LVLA,3,0.101945914,,,,,,,,
8,Male,1,2,0.023805546,-0.369368886,176.3124303,Upset,LVHA,2,1.892171129,,,,,,,,
9,Male,1,2,-0.264275894,0.133220648,-63.24747066,Calm,HVLA,4,-0.087598151,,,,,,,,
10,Male,1,2,-0.021669037,0.028827083,-36.93182715,Relaxed,HVLA,4,-0.010959976,,,,,,,,
11,Female,1,2,-0.046603802,-0.601298152,-175.5681326,Sad,LVLA,3,-0.165206259,,,,,,,,
12,Male,1,2,0.019952957,-0.119630816,170.5309268,Upset,LVHA,2,0.514420675,,,,,,,,
13,Male,1,2,-0.107562979,0.067159228,-58.02053104,Relased,HVLA,4,0.06232934,,,,,,,,
14,Female,1,2,0.137636309,-0.474042947,163.8095745,Upset,LVHA,2,-0.054030357,,,,,,,,
15,Female,1,2,0.059317159,0.307866244,10.90564633,happy,HVHA,1,-0.208441873,,,,,,,,
16,Male,1,2,0.05305926,-0.52898336,174.2721498,Upset,LVHA,2,0.144256101,2,3,4,1,,,,
17,Female,1,2,-0.063919062,0.046194392,-54.14430997,Relased,HVLA,4,0.038936938,LVHA,LVLA,HVLA,HVHA,,,,
18,Female,2,2,0.104865646,-0.156553634,146.184303,stressed,LVHA,2,-0.313541578,Tense,Sad ,content,alert,,,,
19,Female,2,2,-0.252018955,-0.250309463,-134.8050153,Depressed,LVLA,3,0.331856629,Nervous,Depressed,serene,excited,,,,
20,Female,2,2,-0.087029888,0.237192285,-20.14894697,Contented,HVLA,4,0.087077628,Stressed,Lethargic,relaxed,elated,,,,
21,Male,2,2,-0.047080355,-0.141540805,-161.6014594,Sad,LVLA,3,0.059970494,Upset,Fatigued,calm,happy,,,,
22,Male,2,2,0.192020844,-0.135416691,125.1922062,stressed,LVHA,2,-0.287317209,,,,,,,,
23,Male,2,2,-0.087029888,0.237192285,-20.14894697,Contented,HVLA,4,-0.649419293,,,,,,,,
24,Female,2,2,0.022660966,-0.041568728,151.4032301,Upset,LVHA,2,0.241718769,,,,,,,,
25,Female,2,2,0.165556614,0.133122414,51.1975872,excited,HVHA,1,0.115666511,,,,,,,,
26,Male,2,2,-0.333746188,0.036686752,-83.72699787,Calm,HVLA,4,0.244338374,,,,,,,,
27,Male,2,2,-0.175525273,0.261645161,-33.85577792,Relaxed,HVLA,4,0.974606887,,,,,,,,
28,Female,2,2,-0.072862847,0.156454641,-24.97197358,Contented,HVLA,4,-0.60256875,,,,,,,,
29,Female,2,2,-0.146803167,0.542860497,-15.13228039,Contented,HVLA,4,0.452015394,,,,,,,,
30,Male,2,2,-0.089388752,0.338366371,-14.7981799,Contented,HVLA,4,-0.092798963,,,,,,,,
31,Female,2,2,0.150231999,0.049352293,71.81427581,alert,HVHA,1,0.011845878,,,,,,,,
32,Female,2,2,-0.153907958,0.039580486,-75.57777643,Calm,HVLA,4,-0.108222648,,,,,,,,
33,Male,2,2,0.007456959,-0.420654947,178.9844228,Upset,LVHA,1,0.311871913,,,,,,,,
34,Female,2,2,-0.021233994,-0.046882808,-155.6334465,Sad,LVLA,3,-0.161563374,,,,,,,,
1,Female,1,3,-0.042517417,0.146482578,-16.18567706,Contented,HVLA,4,-0.274672232,,,,,,,,
2,Male,1,3,0.124555845,0.138236808,42.01987698,excited,HVHA,1,-5.272892179,,,,,,,,
3,Male,1,3,-0.095288786,-0.023174808,-103.6692946,Bored,LVLA,3,0.413674491,,,,,,,,
4,Male,1,3,0.048197926,0.014532701,73.22082233,alert,HVHA,1,0.182436474,,,,,,,,
5,Female,1,3,-0.106211237,0.027707853,-75.37883619,Calm,HVLA,4,0.069042966,,,,,,,,
6,Female,1,3,-0.013681407,0.198622042,-3.940401756,Contented,HVLA,4,0.097197324,,,,,,,,
7,Female,1,3,0.030440252,-0.337807323,174.8509105,Upset,LVHA,2,0.446154699,,,,,,,,
8,Male,1,3,-0.15889527,0.201262915,-38.29077603,Relaxed,HVLA,4,0.232832894,,,,,,,,
9,Male,1,3,-0.050319901,0.200029187,-14.12048673,Contented,HVLA,4,3.017326199,,,,,,,,
10,Male,1,3,-0.006974769,-0.047992248,-171.7310306,Sad,LVLA,3,0.056573495,,,,,,,,
11,Female,1,3,-0.019657884,0.001582944,-85.39621258,Calm,HVLA,4,-0.306865257,,,,,,,,
12,Male,1,3,0.031742088,-0.171663145,169.5238144,Upset,LVHA,2,-0.123816522,,,,,,,,
13,Male,1,3,-0.212515275,0.120544258,-60.43695168,Calm,HVLA,4,-0.70346436,,,,,,,,
14,Female,1,3,0.047252846,-0.396929237,173.2111157,Upset,LVHA,2,0.198890133,,,,,,,,
15,Female,1,3,0.270695572,0.486932207,29.07057768,happy,HVHA,1,-0.227587544,,,,,,,,
16,Male,1,3,-0.078203506,0.314425265,-13.96713871,Contented,HVLA,4,-0.211423301,,,,,,,,
17,Female,1,3,0.102935246,-0.273938991,159.4058008,Upset,LVHA,2,0.13626033,,,,,,,,
18,Female,2,3,0.093351381,0.337652418,15.45462211,happy,HVHA,1,-0.545870331,,,,,,,,
19,Female,2,3,-0.025617788,0.068023514,-20.63647181,Contented,HVLA,4,0.08000517,,,,,,,,
20,Female,2,3,-0.11151668,0.053037039,-64.56436257,Calm,HVLA,4,0.296346592,,,,,,,,
21,Male,2,3,0.094400255,0.211233461,24.0798724,happy,HVHA,1,0.172205702,,,,,,,,
22,Male,2,3,0.044994308,0.043811584,45.76302498,excited,HVHA,1,2.013166003,,,,,,,,
23,Male,2,3,0.093284249,0.233704401,21.75965364,happy,HVHA,1,-0.062154339,,,,,,,,
24,Female,2,3,0.00677597,0.287323731,1.35095878,happy,HVHA,1,-0.117882188,,,,,,,,
25,Female,2,3,-0.266852045,0.09601576,-70.21081363,Calm,HVLA,4,0.732010632,,,,,,,,
26,Male,2,3,0.147994528,-0.05305215,109.7214228,nervous,LVHA,2,-1.849965384,,,,,,,,
27,Male,2,3,0.167097054,0.057525008,71.00340937,alert,HVHA,1,0.978478178,,,,,,,,
28,Female,2,3,-0.187713856,0.136711397,-53.93426944,Relaxed,HVLA,4,0.076550199,,,,,,,,
29,Female,2,3,0.072102865,-0.120977775,149.2050191,stressed,LVHA,2,-0.150505092,,,,,,,,
30,Male,2,3,-0.057545392,0.020096751,-70.7491117,Calm,HVLA,4,-0.152207796,,,,,,,,
31,Female,2,3,-0.016240225,0.001008069,-86.44807499,Calm,HVLA,4,0.109933992,,,,,,,,
32,Female,2,3,0.198446178,0.007952072,87.70528943,alert,HVHA,1,0.398694769,,,,,,,,
33,Male,2,3,-0.00784231,0.117784974,-3.809221618,Contented,HVLA,4,0.514765922,,,,,,,,
34,Female,2,3,-0.1246001,0.094433797,-52.84169246,Relaxed,HVLA,4,-0.434880898,,,,,,,,
